Contract Address,Collection Name,avg_loss_making_trades,avg_profitable_trades,blockchain,chain_id,collection,collection_score,diamond_hands,fear_and_greed_index,holder_metrics_score,liquidity_score,loss_making_trades,loss_making_trades_percentage,loss_making_volume,market_dominance_score,metadata_score,profitable_trades,profitable_trades_percentage,profitable_volume,token_distribution_score,washtrade_index,zero_profit_trades,mint_count,mint_whales,nft_count,total_mint_volume,total_sale_volume
0xd70f41dd5875eee7fa9dd8048567bc932124a8d2,DeepBlack,-42.668344374717,1.6638344420871e+17,ethereum,1,0xd70f41dd5875eee7fa9dd8048567bc932124a8d2,39.738075840453,3214,45.736586173647,6.985049833887,35.036318592208,792,12.543554006969,-33793.328744776,4.1047543642331,87.231741734455,792,12.543554006969,1.3177568781329e+20,8.4227463700563,56.424720650772,3299,0,0,3073,0,10172187.505049149
0xaaf03a65cbd8f01b512cd8d530a675b3963de255,Seekers,-419.88214336906,8140020474308500.0,ethereum,1,0xaaf03a65cbd8f01b512cd8d530a675b3963de255,36.490435965284,36202,39.011150954334,1.0,22.307602110612,963,2.6131553239987,-404346.5040644,2.6585768028141,72.33889486027,963,2.6131553239987,7.8388397167591e+18,0.98882401797928,56.633183505961,23552,42,3,47895,14551823.851913998,10450569.516068509
0xccdf1373040d9ca4b5be1392d1945c1dae4a862c,PORSCHΞ 911,-167.55886603988,1.9296345724721e+17,ethereum,1,0xccdf1373040d9ca4b5be1392d1945c1dae4a862c,55.686113419931,1219,45.261409829626,74.846266471449,55.98717050424,527,6.3023200191342,-88303.522403017,2.2035806615284,86.80113073522,527,6.3023200191342,1.0169174196928e+20,75.812897146585,62.621102225229,2335,3,1,2363,3482538.179472068,19432917.80440533
0x9712228ceeda1e2ddde52cd5100b88986d1cb49c,Wulfz,-495.60775086234,2852.1490380208,ethereum,1,0x9712228ceeda1e2ddde52cd5100b88986d1cb49c,26.775182533309,5629,36.341514548428,2.486511627907,39.418528843128,450,2.9728479883729,-223023.48788805,1.027449305337,0.045861247246077,450,2.9728479883729,1283467.0671094,5.5295400386673,61.551450024729,6875,0,0,8733,1783195.3895268058,8428805.620634865
0x85f0e02cb992aa1f9f47112f815f519ef1a59e2d,PolkamonOfficialCollection,-55.243203589426,6.3891544643767e+17,ethereum,1,0x85f0e02cb992aa1f9f47112f815f519ef1a59e2d,24.940585421087,6551,31.894628844397,30.344827586207,17.561925896284,698,6.5967299877138,-38559.756105419,4.8205522309329,0.10367972061044,698,6.5967299877138,4.459629816135e+20,30.615802972152,50.763785764957,9265,0,0,36680,13122822.322885409,8091213.502149054
0xdf3407636bbf3a015a8e48a079ef7ba49e687fd3,GhostsProject,-306.63420850677,698.59443556296,ethereum,1,0xdf3407636bbf3a015a8e48a079ef7ba49e687fd3,41.938122886938,4393,35.151147624696,32.497670083877,28.2571049797,645,5.390272438576,-197779.06448687,1.0332463335819,88.415113099677,645,5.390272438576,450593.41093811,33.824053359848,55.501416853094,6899,1,1,10000,3229083.3072019317,8379602.647579825
0x6d4530149e5b4483d2f7e60449c02570531a0751,NFTBoxes,-31.122039745993,991.9025448708,ethereum,1,0x6d4530149e5b4483d2f7e60449c02570531a0751,32.883484371957,5546,34.352160789133,1.0,15.871018931164,893,11.17786957066,-27791.981493171,4.9983686423397,82.962263731212,893,11.17786957066,885768.97256963,0.99753071772322,44.874447748356,6856,1282,28,44438,0,8360319.22889582
0xe885d519025348e30174a218be3e3e4754222860,Woodies Mint Passport,-84.535108597144,167.51900730648,ethereum,1,0xe885d519025348e30174a218be3e3e4754222860,55.582120686684,0,50.426129351274,100.0,98.273255813953,153,2.2539776075427,-12933.871615363,8.3081395348837,0.0,153,2.2539776075427,25630.408117892,100.0,75.3,1190,1,2,3,720836.170136505,7970732.8255968755
0xad265ab9b99296364f13ce5b8b3e8d0998778bfb,Meta Angels,-196.86906050307,514.02351036332,ethereum,1,0xad265ab9b99296364f13ce5b8b3e8d0998778bfb,48.554453019964,4494,37.989827745425,68.611378977821,21.137333333333,606,6.3303039799436,-119302.65066486,1.1439487179487,85.054769230769,606,6.3303039799436,311498.24728017,67.017948717949,66.77277948718,5767,3,1,10000,3790526.1454301695,8327696.447048438
0xe34c28c7dc4fa20ceb7a9268345e83a5c7060136,NFTHUD Membership Token,-221.16485956562,199.03511334405,ethereum,1,0xe34c28c7dc4fa20ceb7a9268345e83a5c7060136,43.164982182126,1731,40.697606308955,90.0,46.422563539952,368,6.8325287783141,-81388.668320148,0.993417443774,0.0,368,6.8325287783141,73244.921710609,89.193636862315,72.345767050649,2540,0,0,2999,2869135.8776919073,9600461.267392265
